英文,中文
bikini_skirt,比基尼裙
bikini_tan,比基尼晒黑
bikini_top,比基尼上装
bikini_top_removed,比基尼上衣脱下
bikini_under_clothes,比基尼内衣
binoculars,双筒望远镜
bird,鸟
bird_ears,鸟的耳朵
bird_mask,鸟面具
bird_on_hand,鸟在手
bird_on_head,鸟在头上
bird_on_shoulder,肩上的鸟
bird_tail,鸟的尾巴
bird_wings,鸟的翅膀
birdcage,鸟笼
biribiri,biribiri
birthday,生日
birthday_cake,生日蛋糕
birthmark,胎记
bisexual_female,双性恋女
bishamonten's_pagoda,bishamonten的宝塔
bishamonten's_spear,bishamonten的长矛
bishop_(chess),主教(象棋)
bishounen,bishounen
bit_gag,有点呕吐
bite_mark,咬痕
biting,咬
biwa_lute,日本琵琶琴
black-framed_eyewear,黑框眼镜
black_apron,黑色的围裙
black_armor,黑色护甲
black_ascot,黑骏景
black_background,黑色背景
black_bag,黑色的袋子里
black_belt,黑带
black_bikini,黑色比基尼
black_blindfold,黑色的眼罩
black_blouse,黑色的上衣
black_bodysuit,黑色紧身衣裤
black_border,黑色边框
black_bow,黑色蝴蝶结
black_bowtie,黑色领结
black_bra,黑色的胸罩
black_buruma,黑色的布鲁玛
black_camisole,黑人女背心
black_cape,黑角
black_capelet,黑色的小披肩
black_cardigan,黑色开襟羊毛衫
black_cat,黑色的猫
black_choker,黑色项链
black_cloak,黑色的斗篷
black_clothes,黑色的衣服
black_coat,黑色的外套
black_coat_(kingdom_hearts),黑色外套（王国之心）
black_collar,黑领
black_dress,黑色的连衣裙
black_eyepatch,黑色的眼罩
black_eyes,黑眼睛
black_feathers,黑色的羽毛
black_flower,黑色的花
black_footwear,黑色的鞋子
black_fur,黑色的皮毛
black_garter_belt,黑色吊袜带
black_gloves,黑色的手套
black_hair,黑色的头发
black_hairband,头上的黑色
black_hakama,黑色袴
black_headband,黑色的头巾
black_headwear,黑色的头饰
black_hoodie,黑色连帽衫
black_horns,黑角
black_jacket,黑色夹克
black_keys_(type-moon),黑键（type-moon）
black_kimono,黑色的和服
black_legwear,黑色legwear
black_leotard,黑色紧身连衣裤
black_lips,黑色的嘴唇
black_male_underwear,黑色男内衣
black_nails,黑色的指甲
black_neckerchief,黑色的围巾
black_necktie,黑色领带
black_neckwear,黑色领带
black_panties,黑色的内裤
black_pants,黑裤子
black_pubic_hair,黑阴毛
black_ribbon,黑丝带
black_robe,黑色的长袍
black_rose,黑玫瑰
black_sailor_collar,黑水手领
black_sash,黑色的腰带
black_scarf,黑色的围巾
black_sclera,黑色巩膜
black_scrunchie,黑色的发束
black_serafuku,黑色serafuku
black_shirt,黑色的衬衫
black_shorts,黑色短裤
black_skin,黑色的皮肤
black_skirt,黑色的裙子
black_sleeves,黑色的袖子
black_sports_bra,黑色运动文胸
black_suit,黑色西装
black_sweater,黑色的毛衣
black_swimsuit,黑色的泳衣
black_tail,黑色的尾巴
black_tank_top,黑色背心
black_theme,黑色的主题
black_umbrella,黑伞
black_undershirt,黑色汗衫
black_vest,黑色的背心
black_wings,黑色的翅膀
black_wristband,黑色的腕带
blade,叶片
blank_censor,空白的审查
blank_eyes,茫然的眼神
blank_speech_bubble,空白语音气泡
blank_stare,瞪了他一眼
blanket,毯子
blazer,夹克
bleeding,出血
blind,盲目的
blindfold,蒙着眼睛
blinds,百叶窗
blinking,闪烁的
blob,团
blonde_hair,金发
blonde_pubic_hair,金色阴毛
blood,血
blood_from_eyes,眼睛流出的血
blood_from_mouth,口出血
blood_on_clothes,衣服上的血迹
blood_on_face,脸上有血
blood_on_hands,手上沾满鲜血
blood_on_knife,刀上有血
blood_on_weapon,武器上的血迹
blood_splatter,血液飞溅
blood_stain,血痕
bloom,布鲁姆
bloomers,灯笼裤
blouse,上衣
blowing,吹
blowing_kiss,吹吻
blue-framed_eyewear,blue-framed眼镜
blue_apron,蓝色的围裙
blue_armor,蓝色的盔甲
blue_ascot,蓝色的赛马场
blue_background,蓝色背景
blue_belt,蓝带
blue_bikini,蓝色比基尼
blue_blouse,蓝色的上衣
blue_bodysuit,蓝色紧身衣裤
blue_border,蓝色的边界
blue_bow,蓝色蝴蝶结
blue_bowtie,蓝色领结
blue_bra,蓝色的胸罩
blue_buruma,蓝色的布鲁玛
blue_butterfly,蓝色的蝴蝶
blue_cape,蓝色的披肩
blue_capelet,蓝色小披肩
blue_cardigan,蓝色的羊毛衫
blue_choker,蓝色的项链
blue_cloak,蓝色的斗篷
blue_coat,蓝色的外套
blue_collar,蓝领
blue_dress,蓝色的连衣裙
blue_eyes,蓝色的眼睛
blue_eyeshadow,蓝色的眼影
blue_feathers,蓝色的羽毛
blue_fire,蓝色的火焰
blue_flower,蓝花
blue_footwear,蓝色的鞋子
blue_gloves,蓝色的手套
blue_hair,蓝色的头发
blue_hairband,蓝色的头上
blue_hakama,蓝色袴
blue_headband,蓝色的头巾
blue_headwear,蓝色的头饰
blue_hoodie,蓝色连帽衫
blue_horns,蓝色的角
blue_jacket,蓝色夹克
blue_kimono,蓝色和服
blue_legwear,蓝色legwear
blue_leotard,蓝色紧身连衣裤
blue_lips,蓝色的嘴唇
blue_nails,蓝色的指甲
blue_neckerchief,蓝色的围巾
blue_necktie,蓝色的领带
blue_neckwear,蓝色的领带
blue_overalls,蓝色工作服
blue_panties,蓝色的内裤
blue_pants,蓝色的裤子
blue_ribbon,蓝丝带
blue_rose,蓝色玫瑰
blue_sailor_collar,蓝水手领
blue_sarong,蓝色的围裙
blue_sash,蓝色的腰带
blue_scarf,蓝色的围巾
blue_sclera,蓝色巩膜
blue_scrunchie,蓝色的发束
blue_serafuku,蓝色serafuku
blue_shawl,蓝色的围巾
blue_shirt,蓝色衬衫
blue_shorts,蓝色的短裤
blue_skin,蓝色的皮肤
blue_skirt,蓝色的裙子
blue_sky,蓝色的天空
blue_sleeves,蓝色的袖子
blue_slime,蓝色的粘液
blue_sweater,蓝色的毛衣
blue_swimsuit,蓝色的泳衣
blue_theme,蓝色的主题
blue_tongue,蓝色的舌头
blue_umbrella,蓝色的伞
blue_vest,蓝色的背心
blue_wings,蓝色的翅膀
blueberry,蓝莓
blunt_bangs,钝的刘海
blunt_ends,生硬的结束
blur_censor,模糊审查
blurry,模糊的
blurry_background,模糊的背景
blurry_foreground,模糊的前景
blush,脸红
blush_stickers,脸红贴纸
boar,野猪
board_game,棋盘游戏
boat,船
bob_cut,短发的
bobblehat,bobblehat
bobby_socks,鲍比袜子
bodice,紧身胸衣
body_armor,防弹衣
body_blush,身体脸红
body_freckles,身体雀斑
body_fur,身体皮毛
body_hair,体毛
body_markings,身体的标记
body_writing,身体写作
bodypaint,bodypaint
bodystocking,bodystocking
bodysuit,紧身衣裤
bodysuit_under_clothes,贴身紧身衣
bokeh,散景
bokken,bokken
bokura_wa_ima_no_naka_de,Bokura wa ima no naka de
bolo_tie,未达标的领带
bolt,螺栓
bolt_action,螺栓行动
bomb,炸弹
bomber_jacket,短夹克
bondage,束缚
bondage_outfit,束缚装
bone,骨
bone_hair_ornament,骨毛饰品
boned_meat,去骨的肉
bonnet,阀盖
boobplate,boobplate
book,书
book_hug,书的拥抱
book_stack,一堆书
bookbag,书包里
bookmark,书签
bookshelf,书架上
boots,靴子
boots_removed,靴子删除
border,边境
bored,无聊
borrowed_character,借来的字符
borrowed_design,借来的设计
borrowed_garments,借来的衣服
bottle,瓶
bottomless,无底
bouncing_breasts,跳动的乳房
bound,绑定
bound_ankles,绑定的脚踝
bound_arms,绑定武器
bound_legs,绑定的腿
bound_wrists,绑定的手腕
bouquet,花束
bow,弓
bow_(instrument),弓(仪器)
bow_(weapon),弓(武器)
bow_bikini,弓比基尼
bow_bra,弓的胸罩
bow_choker,蝴蝶结项链
bow_earrings,蝴蝶结耳环
bow_hairband,弓丢
bow_legwear,弓legwear
bow_panties,弓的内裤
bowing,鞠躬
bowl,碗
bowl_cut,碗切
bowl_hat,碗里的帽子
bowler_hat,圆顶硬礼帽
bowtie,领结
box,盒子
box_tie,盒领带
boxcutter,boxcutter
boxer_briefs,四角内裤
boxers,拳击手
boxing_gloves,拳击手套
boy_on_top,男孩在上面
boy_sandwich,男孩三明治
bra,胸罩
bra_lift,胸罩解除
bra_peek,胸罩偷看
bra_pull,胸罩拉
bra_removed,胸罩删除
bra_strap,胸罩带子
bra_visible_through_clothes,透过衣服可以看到内衣
bracelet,手镯
bracer,索
braid,编织
braided_bangs,编织的刘海
braided_bun,编织包
braided_ponytail,编织马尾辫
braiding_hair,编的头发
bralines,bralines
branch,分支
brand_name_imitation,品牌仿制品
bread,面包
breast_bondage,乳房束缚
breast_conscious,乳腺癌意识
breast_curtains,乳房的窗帘
breast_envy,乳房嫉妒
breast_expansion,乳房膨胀
breast_focus,乳房集中
breast_grab,乳房抓住
breast_hold,乳房举行
breast_lift,乳房提升
breast_milk,母乳
breast_padding,乳房填充
breast_pocket,胸袋
breast_poke,乳房戳
breast_press,乳房压
breast_rest,乳房休息
breast_slip,乳房滑
breast_smother,胸闷死
breast_squeeze,乳房挤压
breast_sucking,乳房吸
breast_suppress,乳房抑制
breast_tattoo,乳房纹身
breastfeeding,母乳喂养
breastless_clothes,breastless衣服
breastplate,胸甲
breasts,乳房
breasts_apart,乳房分开
breasts_on_glass,乳房放在玻璃上
breasts_on_head,头朝胸
breasts_outside,乳房外
breath,呼吸
breathing_fire,呼吸火
brick,砖
brick_floor,砖地板
brick_wall,砖墙
bridal_gauntlets,新娘长手套
bridal_veil,新娘的面纱
bride,新娘
bridge,桥
briefcase,公文包
briefs,三角裤
bright_pupils,明亮的学生
broken,破碎的
broken_armor,破甲
broken_chain,断链
broken_glass,破碎的玻璃
broken_heart,破碎的心
broken_horn,破碎的角
broken_weapon,破碎的武器
broken_window,破窗理论
brooch,胸针
broom,扫帚
broom_riding,骑着扫帚
brother_and_sister,兄妹俩
brothers,兄弟
brown-framed_eyewear,brown-framed眼镜
brown_apron,棕色的围裙
brown_background,棕色的背景
brown_bag,棕色的袋子
brown_belt,棕色皮带
brown_bikini,棕色的比基尼
brown_bodysuit,布朗紧身衣裤
brown_bow,布朗弓
brown_bowtie,布朗领结
brown_bra,布朗的胸罩
brown_cape,棕色的披肩
brown_capelet,棕色的小披肩
brown_cardigan,棕色的开襟羊毛衫
brown_choker,棕色的项链
brown_coat,棕色外套
brown_collar,布朗领
brown_dress,棕色的衣服
brown_eyes,棕色的眼睛
brown_footwear,棕色的鞋子
brown_fur,棕色的皮毛
brown_gloves,棕色手套
brown_hair,棕色的头发
brown_hairband,布朗头上
brown_headwear,棕色的头饰
brown_hoodie,棕色的连帽衫
brown_jacket,棕色夹克
brown_kimono,布朗和服
brown_legwear,布朗legwear
brown_leotard,布朗紧身连衣裤
brown_nails,布朗的指甲
brown_necktie,棕色的领带
brown_panties,布朗的内裤
brown_pants,棕色的裤子
brown_ribbon,棕色的丝带
brown_sailor_collar,棕色水手领
brown_scarf,棕色的围巾
brown_shirt,棕色的衬衫
brown_shorts,棕色的短裤
brown_skirt,棕色裙子
brown_sweater,棕色的毛衣
brown_theme,布朗的主题
brown_vest,棕色背心
brown_wings,棕色的翅膀
bruce_lee's_jumpsuit,李小龙的连身衣
bruise,瘀伤
bruise_on_face,脸上淤青
brush,刷
brushing_teeth,刷牙
bubble,泡沫
bubble_blowing,泡沫吹
bubble_skirt,泡泡裙
bubble_tea,泡泡茶
bubble_tea_challenge,奶茶挑战
buck_teeth,暴牙
bucket,桶
buckle,扣
budget_sarashi,预算漂白
bug,错误
building,建筑
bukkake,bukkake
bulge,胀
bullet,子弹
bullet_hole,弹孔
bulletin_board,公告栏
bulletproof_vest,防弹背心
bullpup,小斗牛式导弹
bullying,欺凌
bun_cover,包盖
bunching_hair,聚束的头发
bunny,兔子
bunny-shaped_pupils,bunny-shaped学生
bunny_costume,兔子服装
bunny_hair_ornament,兔毛饰品
bunny_hat,兔子的帽子
bunny_hood,兔子罩
bunny_on_head,头上的兔子
bunny_pose,兔子构成
bunny_print,兔子打印
burger,汉堡
burn_scar,烧伤疤痕
burning,燃烧
burnt_clothes,烧焦的衣服
bursting_breasts,破裂的乳房
buruma,布鲁玛
buruma_aside,布鲁玛一边
buruma_pull,布鲁玛拉
bus,总线
bus_stop,公共汽车站
bush,布什
business_suit,西装
bust_cup,泡沫杯
bustier,胸部丰满的
butler,巴特勒
butt_crack,对接裂纹
butt_plug,对接插头
butter,黄油
butterfly,蝴蝶
butterfly_hair_ornament,蝴蝶发饰
butterfly_net,蝴蝶网
butterfly_on_hand,蝴蝶在手
butterfly_print,蝴蝶印刷
butterfly_sitting,蝴蝶坐
butterfly_wings,蝴蝶的翅膀
buttjob,buttjob
button_badge,按钮面板
